CustomerName,Country,InvoiceId,InvoiceDate,ProductName,CategoryName,UnitPrice,Quantity,LineTotal
Manoj Pareek,India,412,2013-12-22 00:00:00,Hot Girl,TV Shows,1.99,1,1.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Higher Ground,Reggae,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Secrets,Rock,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Eruption,Rock,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Dreams,Rock,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Eruption,Rock,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,On Fire,Rock,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Year to the Day,Rock,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Fall To Pieces,Rock,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,A Bencao E Outros,Latin,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Um Homem Chamado Alfredo,Latin,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Looking For Love,Metal,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Sweet Lady Luck,Metal,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,Latin,0.99,1,0.99
Terhi Hämäläinen,Finland,411,2013-12-14 00:00:00,Samba pras moças,Latin,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,Desire,Rock,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,Pride (In The Name Of Love),Rock,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,The Star Spangled Banner,Rock,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,I Still Haven't Found What I'm Looking For,Rock,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,Sweetest Thing,Rock,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,Seconds,Rock,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,Red Light,Rock,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,Lemon,Rock,0.99,1,0.99
Madalena Sampaio,Portugal,410,2013-12-09 00:00:00,The Wanderer,Rock,0.99,1,0.99
Robert Brown,Canada,409,2013-12-06 00:00:00,"Trash, Trampoline And The Party Girl",Rock,0.99,1,0.99
Robert Brown,Canada,409,2013-12-06 00:00:00,Love And Peace Or Else,Rock,0.99,1,0.99
Robert Brown,Canada,409,2013-12-06 00:00:00,Crumbs From Your Table,Rock,0.99,1,0.99
Robert Brown,Canada,409,2013-12-06 00:00:00,Discotheque,Rock,0.99,1,0.99
Robert Brown,Canada,409,2013-12-06 00:00:00,Staring At The Sun,Rock,0.99,1,0.99
Robert Brown,Canada,409,2013-12-06 00:00:00,The Playboy Mansion,Rock,0.99,1,0.99
Victor Stevens,USA,408,2013-12-05 00:00:00,Bass Trap,Rock,0.99,1,0.99
Victor Stevens,USA,408,2013-12-05 00:00:00,Everlasting Love,Rock,0.99,1,0.99
Victor Stevens,USA,408,2013-12-05 00:00:00,Walk To The Water,Rock,0.99,1,0.99
Victor Stevens,USA,408,2013-12-05 00:00:00,Hallelujah Here She Comes,Rock,0.99,1,0.99
Kathy Chase,USA,406,2013-12-04 00:00:00,When I Look At The World,Rock,0.99,1,0.99
Kathy Chase,USA,406,2013-12-04 00:00:00,New York,Rock,0.99,1,0.99
John Gordon,USA,407,2013-12-04 00:00:00,The Three Sunrises,Rock,0.99,1,0.99
John Gordon,USA,407,2013-12-04 00:00:00,Sweetest Thing,Rock,0.99,1,0.99
Dan Miller,USA,405,2013-11-21 00:00:00,Peace On Earth,Rock,0.99,1,0.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,Insensível,Alternative & Punk,0.99,1,0.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,Collaborators,TV Shows,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,The Woman King,Science Fiction,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,One Giant Leap,Drama,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,The Fix,Drama,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,"Man of Science, Man of Faith (Premiere)",TV Shows,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,Walkabout,TV Shows,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,The Moth,TV Shows,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,Stranger In a Strange Land,Drama,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,Par Avion,Drama,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,Outlaws,TV Shows,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,Deus Ex Machina,TV Shows,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,"Live Together, Die Alone, Pt. 1",Drama,1.99,1,1.99
Helena Holý,Czech Republic,404,2013-11-13 00:00:00,So Cruel,Rock,0.99,1,0.99
Diego Gutiérrez,Argentina,403,2013-11-08 00:00:00,New Love,Latin,0.99,1,0.99
Diego Gutiérrez,Argentina,403,2013-11-08 00:00:00,Compadre,Latin,0.99,1,0.99
